step,test_acc
0,0.1638888888888889
10,0.6611111111111111
12,0.7
20,0.7166666666666667
24,0.7555555555555555
30,0.8805555555555555
36,0.9166666666666666
40,0.9111111111111111
48,0.95
50,0.9638888888888889
60,0.9611111111111111
60,0.9611111111111111
70,0.975
72,0.975
80,0.9805555555555555
84,0.9805555555555555
90,0.975
96,0.9722222222222222
100,0.9722222222222222
108,0.9777777777777777
110,0.9777777777777777
120,0.9805555555555555
120,0.9805555555555555
130,0.9777777777777777
132,0.9805555555555555
140,0.9777777777777777
144,0.9805555555555555
150,0.9777777777777777
156,0.9777777777777777
160,0.9777777777777777
168,0.9805555555555555
170,0.9805555555555555
180,0.9805555555555555
180,0.9805555555555555
190,0.9777777777777777
192,0.9777777777777777
200,0.9777777777777777
204,0.9777777777777777
210,0.9777777777777777
216,0.9777777777777777
220,0.9805555555555555
228,0.9805555555555555
230,0.9805555555555555
240,0.9833333333333333
240,0.9833333333333333
250,0.9833333333333333
252,0.9833333333333333
260,0.9833333333333333
264,0.9833333333333333
270,0.9805555555555555
276,0.9805555555555555
280,0.9861111111111112
288,0.9861111111111112
290,0.9861111111111112
300,0.9861111111111112
300,0.9861111111111112
310,0.9861111111111112
312,0.9861111111111112
320,0.9861111111111112
324,0.9861111111111112
330,0.9861111111111112
336,0.9861111111111112
340,0.9861111111111112
348,0.9861111111111112
350,0.9861111111111112
360,0.9861111111111112
360,0.9861111111111112
370,0.9861111111111112
372,0.9861111111111112
380,0.9861111111111112
384,0.9861111111111112
390,0.9861111111111112
396,0.9861111111111112
400,0.9861111111111112
408,0.9861111111111112
410,0.9861111111111112
420,0.9861111111111112
420,0.9861111111111112
430,0.9861111111111112
432,0.9861111111111112
440,0.9861111111111112
444,0.9861111111111112
450,0.9861111111111112
456,0.9861111111111112
460,0.9861111111111112
468,0.9861111111111112
470,0.9861111111111112
480,0.9861111111111112
480,0.9861111111111112
