target_acc,achieved_acc,abs_err,phase1_steps,phase2_steps,realized_eps
0.85,0.8306,0.019399999999999973,250,750,1.4763571833571345
0.88,0.8608,0.019199999999999995,300,1000,1.5741231454916524
