target_eps,realized_eps,test_acc
0.5,0.49496912051769587,0.1006
1.0,0.9906239964434446,0.1003
2.0,1.9926390579683309,0.1011
4.0,3.9905903879565208,0.1085
8.0,7.995476163199385,0.346
