target_acc,achieved_acc,abs_err,phase1_steps,phase2_steps,realized_eps
0.73,0.7275,0.0024999999999999467,100,50,inf
0.78,0.7788829787234043,0.0011170212765957421,100,50,inf
0.8,0.8009574468085107,0.0009574468085106203,200,50,inf
