step,test_acc
0,0.01127659574468085
30,0.4078191489361702
60,0.6023936170212766
90,0.7052127659574469
120,0.7452127659574468
150,0.7481382978723404
180,0.7798936170212766
210,0.7871808510638297
240,0.7825531914893618
270,0.8004255319148936
300,0.7968617021276596
330,0.8135106382978723
360,0.8008510638297872
390,0.8121276595744681
420,0.8273404255319149
450,0.831063829787234
480,0.8131382978723404
510,0.8236170212765958
540,0.8205851063829788
570,0.8333510638297872
600,0.8335106382978723
630,0.8296808510638298
660,0.8369148936170213
690,0.8313829787234043
720,0.8420744680851063
750,0.8442553191489361
780,0.8456914893617021
810,0.8442553191489361
840,0.8426595744680851
870,0.8413297872340425
882,0.8499468085106383
900,0.8518085106382979
930,0.8515425531914894
960,0.849095744680851
990,0.8593617021276596
1020,0.8595212765957447
1050,0.8580319148936171
1080,0.857872340425532
1110,0.8518085106382979
1140,0.8540425531914894
1170,0.8461170212765957
1200,0.8567553191489362
1230,0.8511702127659575
1260,0.8586170212765958
1290,0.8549468085106383
1320,0.8575531914893617
1350,0.8542021276595745
1380,0.857872340425532
1410,0.8618617021276596
1440,0.8577127659574468
1470,0.8585106382978723
1500,0.8611170212765957
1530,0.868031914893617
1560,0.8609042553191489
1590,0.859468085106383
1620,0.8604787234042554
1650,0.865531914893617
1680,0.86
1710,0.8650531914893617
1740,0.8613829787234043
1764,0.8570744680851063
1770,0.8636170212765958
1800,0.8707446808510638
1830,0.8738297872340426
1860,0.8753723404255319
1890,0.8729255319148936
1920,0.8767553191489361
1950,0.8748936170212765
1980,0.8784574468085107
2010,0.8779255319148936
2040,0.8791489361702127
2070,0.8767021276595744
2100,0.8779787234042553
2130,0.8768617021276596
2160,0.8753191489361702
2190,0.8765425531914893
2220,0.8773404255319149
2250,0.8799468085106383
2280,0.8783510638297872
2310,0.8782446808510638
2340,0.8751595744680851
2370,0.8764893617021277
2400,0.8774468085106383
2430,0.8799468085106383
2460,0.8784574468085107
2490,0.8752127659574468
2520,0.8760638297872341
2550,0.880531914893617
2580,0.8760638297872341
2610,0.879095744680851
2640,0.881968085106383
2646,0.8798936170212766
